Company,Country,City,Website,LinkedIn,Eurosatory profile,Booth,Type,Defense segment,Secondary segments,Builds,Sells,Services,Technologies,Target clients,Markets,Target type,Buying need,Other buying needs,Score,Priority,Ideal seller,Pitch,Sales angle,Next action,Status,Tags,Lists,Confidence
Arrow Electronics,France,CLAMART,https://arrow.com/,,,Hall 4 / E256,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
Arrow Switzerland S.à.r.l.,Suisse,MEYRIN,http://www.kevlar.com/,,,Hall 5a / H319,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
Arsenal 2000 JSCo,Bulgarie,KAZANLAK,https://www.arsenal-bg.com/,,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=c1706de9-6480-403e-9572-5262163fa77a,Hall 6 / A120,À vérifier,Other,,,,,,,,À vérifier,Industrial subcontracting / machining,"Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",15.6,D,Qualifier l'activité avant tout pitch ciblé.,Hi — I noticed Arsenal 2000 JSCo at Eurosatory.,"Public sources too thin — discovery call first, focused pitch second.",No immediate action,New,,,Medium
ART CONCEPT COMPOSITES,France,LAVAL CEDEX 9,http://www.art-concept.fr/,https://fr.linkedin.com/company/artconceptcomposites,,Hall 5a / F341,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
ART TECH,France,VINEUIL,http://www.art-tech-france.fr/,,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=8c023b4e-89e6-4cc7-883f-cc418ff22b13,Hall 6 / E370,OEM,Other,,Mechanical parts; Software / Platforms; Robotics / UGV; Logistics equipment,Certification / testing; Engineering / consulting,Certification / testing; Engineering / consulting,Robotics / autonomy,Aerospace primes,France,Acheteur potentiel,"Raw materials (steel, aluminium)","Industrial subcontracting / machining; Cloud / data services; Cybersecurity solutions; AI platforms; Electronic components; Sensors; Energy / batteries; Engines / propulsion; Composite materials; Mechanical parts; Materials; Communications networks; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",67.5,B,Activité à qualifier — discovery call avant pitch précis.,"Hi — I noticed ART TECH builds Mechanical parts, Software / Platforms (+2) for Other.",Public data is thin — qualify the activity before pitching supply.,Review website and validate opportunity,New,,,Medium
Artillerie Inrichtingen Armaments,Pays-Bas,TILBURG,https://ai-armaments.com/,https://www.linkedin.com/in/gerardzondervan/,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=dc960a07-f5ff-48a3-b753-ef6f14f7b12c,Hall 5a,OEM,Counter-UAV,Homeland security; UAV / drones; Weapons; Ammunition; Electronic warfare; Dual-use technology,UAV / drones; Counter-UAV systems; Weapons; Ammunition; Vehicles; Sensors,Certification / testing,Certification / testing,Robotics / autonomy; RF / microwave; GNSS / GPS; Lidar / Laser,Police / law enforcement; Critical infrastructure,Europe; NATO,Acheteur potentiel,Energy / batteries,"Engines / propulsion; Sensors; Optronics / Optics; Communications networks; Composite materials; Embedded systems; Radars; RF / microwave; AI platforms; Mechanical parts; Ammunition components; Energetic materials; Packaging; Ballistic protection; Electronic components; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100)",80.0,A,"Fournisseur de RF, radars, optronique et embarqués pour stacks anti-drone.","Hi — I noticed Artillerie Inrichtingen Armaments builds UAV / drones, Counter-UAV systems (+4) for Counter-UAV.","Their counter-UAV stack relies on RF, radar, optronics and embedded systems — exactly what we supply. Talk to procurement / chief engineer.",Contact sales team and qualify need,New,,,High
ARTLIGHT,Pologne,WARSAW,https://www.powerondrone.com/index.php?route=product/category&path=17_59,,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=0c7a8b12-e56f-4e30-bbdc-b7ac978dfd91,Hall 4,OEM,UAV / drones,,UAV / drones; Software / Platforms,,,,Defense ministries,,Acheteur potentiel,Energy / batteries,"Engines / propulsion; Sensors; Optronics / Optics; Communications networks; Composite materials; Embedded systems; Cloud / data services; Cybersecurity solutions; AI platforms; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",50.6,C,Sub-system / payload pour OEM drones tactiques.,"Hi — ARTLIGHT ships UAV / drones, Software / Platforms to Defense ministries.",UAV programs are scaling — ARTLIGHT is buying. Position [your sub-system] as a qualified alternative on their next platform.,Keep in watchlist,New,,,Medium
ARX Robotics GmbH,Allemagne,Oberding,https://www.arx-robotics.com/,https://www.linkedin.com/company/arx-robotics/,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=4d8f44fc-2787-4355-9e3d-ac8a393c8beb,Hall 6 / H280,OEM,Intelligence / ISR,Land defense; UAV / drones; Optics / optronics; Radar / sensors; AI / data; Logistics / MRO,Software / Platforms; Robotics / UGV; Logistics equipment; Communications networks; Vehicles; UAV / drones; Optronics / Optics; Sensors; Engines / propulsion,Finished products; Sub-systems / Components; Training; Integration services,Training,Robotics / autonomy; Artificial intelligence,Land forces,Europe; Germany; United Kingdom; NATO,Acheteur potentiel,Cloud / data services,"Cybersecurity solutions; AI platforms; Electronic components; Sensors; Energy / batteries; Engines / propulsion; Composite materials; Mechanical parts; Materials; Communications networks; RF / microwave components; Embedded systems; Ballistic protection; Optronics / Optics; Materials (high temperature alloys); Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100)",82.0,A,"Capteurs, payloads optroniques, communications pour plateformes ISR.","Hi — I noticed ARX Robotics GmbH builds Software / Platforms, Robotics / UGV (+7) for Intelligence / ISR.","ISR platforms aggregate sensors, comms and AI. Map ARX Robotics GmbH's integration partners.",Contact sales team and qualify need,New,,,High
ARX Robotics GmbH,Allemagne,Oberding,http://www.arx-robotics.com/,https://www.linkedin.com/company/arx-robotics/,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=2f2aada6-112a-4865-bc67-75628cc0b84f,ExtPe6b / D127,OEM,Intelligence / ISR,Land defense; UAV / drones; Optics / optronics; Radar / sensors; AI / data; Logistics / MRO,Software / Platforms; Robotics / UGV; Logistics equipment; Communications networks; Vehicles; UAV / drones; Optronics / Optics; Sensors; Engines / propulsion,Finished products; Sub-systems / Components; Training; Integration services,Training,Robotics / autonomy; Artificial intelligence,Land forces,Europe; Germany; United Kingdom; NATO,Acheteur potentiel,Cloud / data services,"Cybersecurity solutions; AI platforms; Electronic components; Sensors; Energy / batteries; Engines / propulsion; Composite materials; Mechanical parts; Materials; Communications networks; RF / microwave components; Embedded systems; Ballistic protection; Optronics / Optics; Materials (high temperature alloys); Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100)",82.0,A,"Capteurs, payloads optroniques, communications pour plateformes ISR.","Hi — I noticed ARX Robotics GmbH builds Software / Platforms, Robotics / UGV (+7) for Intelligence / ISR.","ISR platforms aggregate sensors, comms and AI. Map ARX Robotics GmbH's integration partners.",Contact sales team and qualify need,New,,,High
ASB AEROSPATIALE BATTERIES,France,BOURGES CEDEX,http://www.asb-group.com/,,,Hall 5a / D62,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
ASCENDANCE FLIGHT TECHNOLOGIES,France,TOULOUSE,https://www.ascendance-ft.com/,https://www.linkedin.com/company/ascendance-ft/,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=e2f47fc2-f3c2-4e5b-9a1b-4e8fd0d240b5,Hall 6 / DE311,OEM,UAV / drones,Simulation / training; Logistics / MRO; Engineering services; Dual-use technology,Vehicles; UAV / drones; Simulators / Training; Logistics equipment; Engines / propulsion; Communications networks; Energy / batteries,Sub-systems / Components; Integration services; Certification / testing,Certification / testing,Composites; Simulation,Aerospace primes; Critical infrastructure; Defense ministries,France; Asia; Middle East; Europe; Asia-Pacific,Acheteur potentiel,Engines / propulsion,"Composite materials; Mechanical parts; Sensors; Communications networks; Ballistic protection; Optronics / Optics; Energy / batteries; Embedded systems; Software; AI platforms; Hardware (display, motion platforms); Materials; Materials (high temperature alloys); RF / microwave components; Cybersecurity solutions; Materials (Li-ion, electrolytes); Industrial subcontracting / machining",81.5,A,Sub-system / payload pour OEM drones tactiques.,"Hi — ASCENDANCE FLIGHT TECHNOLOGIES ships Vehicles, UAV / drones (+5) to Aerospace primes, Critical infrastructure (+1).",UAV programs are scaling — ASCENDANCE FLIGHT TECHNOLOGIES is buying. Position [your sub-system] as a qualified alternative on their next platform.,Contact sales team and qualify need,New,,,High
Ascent Lumina SIA,Lettonie,Riga,https://www.ascentlumina.com/,,,Hall 5b / D409,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
Aselsan,Turquie,ANKARA,http://www.aselsan.com/,,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=bdd8eb19-4023-4a35-bf59-39c799460509,Hall 6 / G26,À vérifier,Other,,,,,,,,À vérifier,Industrial subcontracting / machining,"Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",17.6,D,Qualifier l'activité avant tout pitch ciblé.,Hi — I noticed Aselsan at Eurosatory.,"Public sources too thin — discovery call first, focused pitch second.",No immediate action,New,,,Medium
ASGARD MOTORS,France,SAINT JEAN LE BLANC,https://www.asgard-motors.fr/,https://www.linkedin.com/company/asgard-motors/,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=eaca1777-e009-4462-97c8-6592a5061fec,Hall 6 / DE290,OEM,Logistics / MRO,Homeland security,Logistics equipment; Engines / propulsion; Energy / batteries,Sub-systems / Components,,,Land forces; Police / law enforcement; Border / customs; Civil security / fire,France; Europe,Acheteur potentiel,Mechanical parts,"Materials; Communications networks; Materials (high temperature alloys); Embedded systems; Materials (Li-ion, electrolytes); Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",69.2,B,"Vend des sous-systèmes / composants à un OEM construisant Logistics equipment, Engines / propulsion.","Hi — ASGARD MOTORS ships Logistics equipment, Engines / propulsion (+1) to Land forces, Police / law enforcement (+2).",ASGARD MOTORS performs MRO — they need parts and engineering support. Direct procurement angle.,Review website and validate opportunity,New,,,High
ASHOKA MANUFACTURING PVT LTD,Inde,KOLKATA,https://www.notavailable.net/,,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=989c8936-d7e8-4a22-92a3-743eab6a7dab,Hall 5a / EF357,À vérifier,Other,,,,,,,,À vérifier,Industrial subcontracting / machining,"Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",17.6,D,Qualifier l'activité avant tout pitch ciblé.,Hi — I noticed ASHOKA MANUFACTURING PVT LTD at Eurosatory.,"Public sources too thin — discovery call first, focused pitch second.",No immediate action,New,,,Medium
ASMAN TECHNOLOGY,France,CLICHY,,,,Hall 6 / EF244,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
