exhibitor_id,company_name,country,website,pavilion,activity_1liner,supply_chain_tier,products,products_categories,services,services_categories,target_buyers,technologies,technologies_categories,why_target,completeness_score,data_source_strength
426,Chesneau Serret,France,https://www.chesneau-serret.com/,,Chesneau - Serret - Spécialiste de la mécanique de haute précision | Chesneau Serret est un acteur majeur de la mécanique de précision.,Tier 1,pièces mécaniques de précision · ensembles mécano-soudés · composants usinés CNC · pièces mécaniques · moteurs militaires · ensembles de propulsion · groupes électrogènes mobiles,Pièces mécaniques & usinage · Groupes électrogènes & énergie tactique,formation · certification / tests,Formation & entraînement · Certification & tests,,Lidar / Laser,Lidar / Laser,Prestataire potentiel de formation pour des programmes défense/sécurité — à qualifier en discovery call.,85,medium
427,CHESS DYNAMICS LTD,United-Kingdom,http://www.chess-dynamics.com/,,"Conçoit et fabrique des systèmes d'optronique de surveillance, suivi et acquisition pour défense aérienne, terrestre et navale.",OEM,systèmes optroniques Hawkeye · systèmes Vision 4D · tourelles de surveillance maritime · stations C-UAV optroniques,Optronique & viseurs (EO/IR) · Drones aériens (UAV) · Systèmes anti-drone (C-UAS),intégration sur plateforme · MCO optronique,Intégration de systèmes · MCO / MRO,"MoD / Armées, Sécurité civile, Export / international",optronique IR · fusion de capteurs · vision par ordinateur,Vision par ordinateur,Compétiteur sur systèmes optroniques de surveillance et anti-drone — cible pour fournisseurs de détecteurs IR refroidis et briques IA temps réel.,85,manual
428,CHIMNEY TRAIL HEALTH,USA,http://www.chimneytrailhealth.com/,,"Conçoit et fabrique des logiciels métier défense, équipement logistique, armes pour armées.",OEM,logiciels métier défense · équipement logistique · armes · robots terrestres (UGV) · réseaux de communication,Logiciels métier défense (autres) · Logistique militaire & transport · Armes légères & accessoires · Robots terrestres (UGV / EOD) · Réseaux militaires (5G/P-LTE/MANET),formation · ingénierie / conseil · intégration de systèmes,Formation & entraînement · Ingénierie & conseil · Intégration de systèmes,MoD / Armées,cloud · robotique / autonomie · simulation,Cloud & cloud souverain · Robotique & autonomie · Navigation inertielle · Simulation & VR/AR,"Acheteur potentiel de infrastructure cloud souveraine, IA, cyber pour ses lignes logiciels — également compétiteur sur le segment logiciels.",100,high
429,CHINA GREAT WALL INTERNATIONAL EXHIBITION CO LTD,China,http://www.chgie.com/,,"Organise des salons internationaux et pavillons chinois à l'étranger, dont une filière aéronautique/défense.",N/A,,Organisation de salons & conférences défense,organisation de salons et pavillons à l'étranger · conception et construction de stands · représentation d'exposants chinois à l'export,Organisation de salons & événements · Promotion territoriale & investissement · Marketing & développement commercial,"Industriels défense, Export / international",,,Canal d'accès au marché chinois et organisateur de pavillons aéronautique/défense — utile pour identifier ou approcher des industriels chinois exportateurs.,50,manual
430,CHINA NORTH INDUSTRIES CORP,China,http://www.norinco.com.cn/,,Conçoit et fabrique l'ensemble des armements terrestres et navals pour l'armée chinoise et l'export (~80 pays).,OEM,chars VT-4 · véhicules blindés VN1 · obusiers PLZ-52 · missiles SkySaber · drones armés Wing Loong · armes légères QBZ,Véhicules blindés · Armes lourdes & systèmes de tir · Missiles & armements guidés · Drones aériens (UAV) · Armes légères & accessoires,MCO armement · formation forces · transfert de technologie,MCO / MRO · Formation & entraînement,"MoD / Armées, Export / international",armement complet · véhicules blindés · drones armés,Autre — à qualifier,"Compétiteur direct chinois — cible export agressive sur Afrique / Asie centrale / Pakistan, à surveiller pour les marchés contestés.",85,manual
431,Chrosziel GmbH,Germany,http://www.chrosziel.com/,,"Conçoit et fabrique des systèmes optroniques, équipement logistique, armes.",OEM,systèmes optroniques · équipement logistique · armes · moteurs / propulsion,Optronique & viseurs (EO/IR) · Logistique militaire & transport · Armes légères & accessoires · Moteurs aéronautiques,,,MoD / Armées,imagerie thermique · optique de précision · mécanique d'armement · moteurs aéronautiques,Imagerie infrarouge · Optique de précision,"Acheteur potentiel de détecteurs IR, cryocoolers, optique de précision pour ses lignes optronique — également compétiteur sur le segment optronique.",100,medium
432,CHS Spezialcontainer-Shelter and Engineering,Germany,http://www.chs-containergroup.com/,,"Conçoit et fabrique des shelters militaires, conteneurs durcis et abris déployables pour les forces armées et les ONG.",OEM,shelters tactiques 20 pieds · abris atelier MCO déployables · shelters de commandement · conteneurs durcis CBRN,"Conteneurs, malles, shelters · NRBC (masques, tenues, détecteurs)",intégration équipements · logistique projection,Intégration de systèmes,"MoD / Armées, Sécurité civile, Export / international",shelters durcis · isolation thermique militaire,Imagerie infrarouge,Fournisseur allemand de shelters tactiques — partenaire pour la projection de capacités MCO en théâtre extérieur.,85,manual
433,CHSNOR AS,Norway,http://www.chsnor.no/,,"Conçoit et fabrique des robots terrestres (UGV), plateformes robotiques tactiques, modules de téléopération pour primes défense.",OEM,robots terrestres (UGV) · plateformes robotiques tactiques · modules de téléopération · équipement logistique · modules de transport tactique · ensembles palettisés militaires,Robots terrestres (UGV / EOD) · Logistique militaire & transport,MCO / MRO,MCO / MRO,Primes défense,cloud · GNSS / GPS,Cloud & cloud souverain · GNSS / navigation satellite,"Acheteur potentiel de capteurs, batteries, propulsion, châssis composite pour ses lignes robotique terrestre — également compétiteur sur le segment robotique terrestre.",100,medium
434,Cicor Group,France,http://www.cicor.com/,,Conçoit partner for advanced electronics in aerospace and defence.,Tier 1,plateforme cybersécurité OT · outils d'audit ICS / SCADA,Cybersécurité (logiciels & appliances) · Logiciels métier défense (autres),ingénierie / conseil · certification / tests · intégration de systèmes,Ingénierie & conseil · Certification & tests · Intégration de systèmes,"Sécurité civile, MoD / Armées, Industriels défense, Primes défense",cybersécurité OT / ICS,Cybersécurité OT / ICS,Niche cybersécurité industrielle — partenaire pour la protection d'infrastructures critiques et bases militaires.,80,high
435,CIDER ENGINEERING,France,http://www.ciderengineering.com/,,"Nos solutions, économiquement et techniquement viables, sont le résultat de notre connaissance et approche pragmatique des exigences du s…",OEM,réseaux de communication militaires · infrastructure RF durcie · stations de commandement · réseaux de communication · batteries militaires · packs énergie pour drones · modules de gestion d'énergie,Antennes & infrastructures RF · Systèmes C2 & C4ISR · Réseaux militaires (5G/P-LTE/MANET) · Batteries & packs énergétiques · Drones aériens (UAV) · Groupes électrogènes & énergie tactique,ingénierie / conseil · MCO / MRO · formation · certification / tests,Ingénierie & conseil · MCO / MRO · Formation & entraînement · Certification & tests,"MoD / Armées, Primes défense",RF / micro-ondes · 5G / sans-fil · énergie portative,Communications RF / micro-ondes · 5G / réseaux radio mobiles,Compétiteur sur réseaux de communication militaires — cible potentielle pour la vente de sous-systèmes complémentaires ou de prestations associées.,100,high
436,CILAS,France,http://www.cilas.com/,,Conçoit et fabrique des optroniques et viseurs pour armes individuelles et plateformes.,OEM,fusils d'assaut · pistolets de service · fusils de précision,Armes légères & accessoires · Pièces mécaniques & usinage · Systèmes anti-drone (C-UAS) · Drones aériens (UAV) · Missiles & armements guidés,ingénierie / conseil · certification / tests,Ingénierie & conseil · Certification & tests,"MoD / Armées, Sécurité civile, Export / international",mécanique d'armement,Autre — à qualifier,Compétiteur sur armes légères pour fantassins et police — acheteur de matériaux énergétiques et composants mécaniques de précision.,100,medium
437,CIMES,France,https://www.cimesfrance.com/,,"CIMES, l'expertise en simulation mécanique des fluides | Notre bureau d'études mécanique est expert en simulation mécanique des fluides.",Tier 1,capteurs embarqués · batteries / sources d'énergie · réseaux de communication,Capteurs embarqués (généraux) · Batteries & packs énergétiques · Réseaux militaires (5G/P-LTE/MANET),certification / tests · ingénierie / conseil · formation,Certification & tests · Ingénierie & conseil · Formation & entraînement,,simulation · 5G / sans-fil · matériaux composites · IA / vision,Navigation inertielle · Simulation & VR/AR · 5G / réseaux radio mobiles · Matériaux composites · IA / machine learning,Prestataire potentiel de certification / tests pour des programmes défense/sécurité — à qualifier en discovery call.,85,medium
438,CINADRA,Brazil,https://cinadra.com.br/,,CINADRA | Representa��o Comercial de Vanguarda no Brasil Subt�tulo: H� mais de 50 anos conectando empresas estrangeiras com o mercado bra…,OEM,,Munitions gros calibre & obus,,,,matériaux composites,Matériaux composites,À qualifier — données publiques insuffisantes pour trancher.,55,low
439,CIRRA PACKAGING,France,https://www.cirrapackaging.com/,,Nous mettons à votre disposition notre savoir-faire pour vous offrir des solutions complètes de découpes de mousses répondant à votre cah…,OEM,munitions de petit calibre · munitions de moyen calibre · amorçages et fusées · munitions · pièces mécaniques de précision · ensembles mécano-soudés · composants usinés CNC,Explosifs & matériaux énergétiques · Munitions petit/moyen calibre · Pièces mécaniques & usinage,ingénierie / conseil,Ingénierie & conseil,MoD / Armées,matériaux énergétiques,Matériaux énergétiques,Compétiteur sur munitions de petit calibre — cible potentielle pour la vente de sous-systèmes complémentaires ou de prestations associées.,100,medium
